date,type,locale,locale_name,description,transferred,dayofweek,working_day,description_base_es,description_base_en
2012-03-02,Holiday,Local,Manta,Fundacion de Manta,False,Friday,No,Fundacion ,Foundation
2012-04-01,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi,False,Sunday,No,Provincializacion ,provincialization
2012-04-12,Holiday,Local,Cuenca,Fundacion de Cuenca,False,Thursday,No,Fundacion ,Foundation
2012-04-14,Holiday,Local,Libertad,Cantonizacion de Libertad,False,Saturday,No,Cantonizacion ,cantonization
2012-04-21,Holiday,Local,Riobamba,Cantonizacion de Riobamba,False,Saturday,No,Cantonizacion ,cantonization
2012-05-12,Holiday,Local,Puyo,Cantonizacion del Puyo,False,Saturday,No,Cantonizacion del ,Cantonization of
2012-06-23,Holiday,Local,Guaranda,Cantonizacion de Guaranda,False,Saturday,No,Cantonizacion ,cantonization
2012-06-25,Holiday,Regional,Imbabura,Provincializacion de Imbabura,False,Monday,No,Provincializacion ,provincialization
2012-06-25,Holiday,Local,Latacunga,Cantonizacion de Latacunga,False,Monday,No,Cantonizacion ,cantonization
2012-06-25,Holiday,Local,Machala,Fundacion de Machala,False,Monday,No,Fundacion ,Foundation
2012-07-03,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,False,Tuesday,No,Fundacion ,Foundation
2012-07-03,Holiday,Local,El Carmen,Cantonizacion de El Carmen,False,Tuesday,No,Cantonizacion ,cantonization
2012-07-23,Holiday,Local,Cayambe,Cantonizacion de Cayambe,False,Monday,No,Cantonizacion ,cantonization
2012-08-05,Holiday,Local,Esmeraldas,Fundacion de Esmeraldas,False,Sunday,No,Fundacion ,Foundation
2012-08-10,Holiday,National,Ecuador,Primer Grito de Independencia,False,Friday,No,Primer Grito Independencia,First Cry Independence
2012-08-15,Holiday,Local,Riobamba,Fundacion de Riobamba,False,Wednesday,No,Fundacion ,Foundation
2012-08-24,Holiday,Local,Ambato,Fundacion de Ambato,False,Friday,No,Fundacion ,Foundation
2012-09-28,Holiday,Local,Ibarra,Fundacion de Ibarra,False,Friday,No,Fundacion ,Foundation
2012-10-07,Holiday,Local,Quevedo,Cantonizacion de Quevedo,False,Sunday,No,Cantonizacion ,cantonization
2012-10-09,Holiday,National,Ecuador,Independencia de Guayaquil,True,Tuesday,No,Independencia ,Independence
2012-10-12,Transfer,National,Ecuador,Traslado Independencia de Guayaquil,False,Friday,No, Independencia ,Independence
2012-11-02,Holiday,National,Ecuador,Dia de Difuntos,False,Friday,No,Dia Difuntos,Day of the Dead
2012-11-03,Holiday,National,Ecuador,Independencia de Cuenca,False,Saturday,No,Independencia ,Independence
2012-11-06,Holiday,Regional,Santo Domingo de los Tsachilas,Provincializacion de Santo Domingo,False,Tuesday,No,Provincializacion ,provincialization
2012-11-07,Holiday,Regional,Santa Elena,Provincializacion Santa Elena,False,Wednesday,No,Provincializacion ,provincialization
2012-11-10,Holiday,Local,Guaranda,Independencia de Guaranda,False,Saturday,No,Independencia ,Independence
2012-11-11,Holiday,Local,Latacunga,Independencia de Latacunga,False,Sunday,No,Independencia ,Independence
2012-11-12,Holiday,Local,Ambato,Independencia de Ambato,False,Monday,No,Independencia ,Independence
2012-12-05,Additional,Local,Quito,Fundacion de Quito-1,False,Wednesday,No,Fundacion ,Foundation
2012-12-06,Holiday,Local,Quito,Fundacion de Quito,False,Thursday,No,Fundacion ,Foundation
2012-12-08,Holiday,Local,Loja,Fundacion de Loja,False,Saturday,No,Fundacion ,Foundation
2012-12-21,Additional,National,Ecuador,Navidad-4,False,Friday,No,Navidad,Christmas
2012-12-22,Holiday,Local,Salinas,Cantonizacion de Salinas,False,Saturday,No,Cantonizacion ,cantonization
2012-12-22,Additional,National,Ecuador,Navidad-3,False,Saturday,No,Navidad,Christmas
2012-12-23,Additional,National,Ecuador,Navidad-2,False,Sunday,No,Navidad,Christmas
