date,type,locale,locale_name,description,transferred,dayofweek,working_day,description_base_es,description_base_en
2012-03-02,Holiday,Local,Manta,Fundacion de Manta,false,Friday,No,Fundacion ,Foundation
2012-04-01,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi,false,Sunday,No,Provincializacion ,Provincialization
2012-04-12,Holiday,Local,Cuenca,Fundacion de Cuenca,false,Thursday,No,Fundacion ,Foundation
2012-04-14,Holiday,Local,Libertad,Cantonizacion de Libertad,false,Saturday,No,Cantonizacion ,Cantonization
2012-04-21,Holiday,Local,Riobamba,Cantonizacion de Riobamba,false,Saturday,No,Cantonizacion ,Cantonization
2012-05-12,Holiday,Local,Puyo,Cantonizacion del Puyo,false,Saturday,No,Cantonizacion del ,Cantonization of
2012-06-23,Holiday,Local,Guaranda,Cantonizacion de Guaranda,false,Saturday,No,Cantonizacion ,Cantonization
2012-06-25,Holiday,Regional,Imbabura,Provincializacion de Imbabura,false,Monday,No,Provincializacion ,Provincialization
2012-06-25,Holiday,Local,Latacunga,Cantonizacion de Latacunga,false,Monday,No,Cantonizacion ,Cantonization
2012-06-25,Holiday,Local,Machala,Fundacion de Machala,false,Monday,No,Fundacion ,Foundation
2012-07-03,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,false,Tuesday,No,Fundacion ,Foundation
2012-07-03,Holiday,Local,El Carmen,Cantonizacion de El Carmen,false,Tuesday,No,Cantonizacion ,Cantonization
2012-07-23,Holiday,Local,Cayambe,Cantonizacion de Cayambe,false,Monday,No,Cantonizacion ,Cantonization
2012-08-05,Holiday,Local,Esmeraldas,Fundacion de Esmeraldas,false,Sunday,No,Fundacion ,Foundation
2012-08-10,Holiday,National,Ecuador,Primer Grito de Independencia,false,Friday,No,Primer Grito  Independencia,First Cry Independence
2012-08-15,Holiday,Local,Riobamba,Fundacion de Riobamba,false,Wednesday,No,Fundacion ,Foundation
2012-08-24,Holiday,Local,Ambato,Fundacion de Ambato,false,Friday,No,Fundacion ,Foundation
2012-09-28,Holiday,Local,Ibarra,Fundacion de Ibarra,false,Friday,No,Fundacion ,Foundation
2012-10-07,Holiday,Local,Quevedo,Cantonizacion de Quevedo,false,Sunday,No,Cantonizacion ,Cantonization
2012-10-09,Holiday,National,Ecuador,Independencia de Guayaquil,true,Tuesday,No,Independencia ,Independence
2012-10-12,Transfer,National,Ecuador,Traslado Independencia de Guayaquil,false,Friday,No, Independencia  ,Independence
2012-11-02,Holiday,National,Ecuador,Dia de Difuntos,false,Friday,No,Dia Difuntos,Day of the Dead
2012-11-03,Holiday,National,Ecuador,Independencia de Cuenca,false,Saturday,No,Independencia ,Independence
2012-11-06,Holiday,Regional,Santo Domingo de los Tsachilas,Provincializacion de Santo Domingo,false,Tuesday,No,Provincializacion ,Provincialization
2012-11-07,Holiday,Regional,Santa Elena,Provincializacion Santa Elena,false,Wednesday,No,Provincializacion ,Provincialization
2012-11-10,Holiday,Local,Guaranda,Independencia de Guaranda,false,Saturday,No,Independencia ,Independence
2012-11-11,Holiday,Local,Latacunga,Independencia de Latacunga,false,Sunday,No,Independencia ,Independence
2012-11-12,Holiday,Local,Ambato,Independencia de Ambato,false,Monday,No,Independencia ,Independence
2012-12-05,Additional,Local,Quito,Fundacion de Quito-1,false,Wednesday,No,Fundacion ,Foundation
2012-12-06,Holiday,Local,Quito,Fundacion de Quito,false,Thursday,No,Fundacion ,Foundation
2012-12-08,Holiday,Local,Loja,Fundacion de Loja,false,Saturday,No,Fundacion ,Foundation
2012-12-21,Additional,National,Ecuador,Navidad-4,false,Friday,No,Navidad,Christmas
2012-12-22,Holiday,Local,Salinas,Cantonizacion de Salinas,false,Saturday,No,Cantonizacion ,Cantonization
2012-12-22,Additional,National,Ecuador,Navidad-3,false,Saturday,No,Navidad,Christmas
